metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Sep,1,0.022666666666666665,0.0,1.37,0.0,0.0,0.0,0.0,0.04400000000000006
precip,Sep,2,0.02733333333333333,0.0,1.57,0.0,0.0,0.0,0.0,0.05000000000000014
precip,Sep,3,0.050666666666666665,0.0,1.57,0.0,0.0,0.0,0.0275,0.16500000000000006
precip,Sep,4,0.078,0.0,1.57,0.0,0.0,0.0,0.11500000000000002,0.2740000000000002
precip,Sep,5,0.08866666666666667,0.0,2.26,0.0,0.0,0.005,0.1325,0.37300000000000005
precip,Sep,6,0.09333333333333332,0.0,2.63,0.0,0.0,0.01,0.1325,0.37300000000000005
precip,Sep,7,0.11233333333333334,0.0,2.63,0.0,0.0,0.025,0.1775,0.37300000000000005
precip,Sep,8,0.14233333333333334,0.0,2.63,0.0,0.0,0.075,0.205,0.41300000000000003
precip,Sep,9,0.16633333333333333,0.0,2.63,0.0,0.01,0.125,0.295,0.4430000000000001
precip,Sep,10,0.2076666666666667,0.0,2.63,0.0,0.01,0.14500000000000002,0.30000000000000004,0.4480000000000002
precip,Sep,11,0.2486666666666667,0.0,2.63,0.0,0.01,0.15500000000000003,0.3525,0.5460000000000003
precip,Sep,12,0.266,0.0,2.63,0.0,0.02,0.165,0.39249999999999996,0.6020000000000002
precip,Sep,13,0.28200000000000003,0.0,2.63,0.01800000000000001,0.045,0.18,0.39249999999999996,0.6180000000000004
precip,Sep,14,0.32766666666666666,0.0,2.63,0.03900000000000001,0.11750000000000001,0.23500000000000001,0.4,0.6320000000000007
precip,Sep,15,0.3946666666666667,0.0,2.63,0.03900000000000001,0.14250000000000002,0.29500000000000004,0.515,1.0200000000000005
precip,Sep,16,0.47800000000000004,0.0,2.63,0.06800000000000002,0.15750000000000003,0.33999999999999997,0.5725,1.1330000000000005
precip,Sep,17,0.5046666666666667,0.0,2.63,0.06800000000000002,0.2,0.36,0.5725,1.1780000000000004
precip,Sep,18,0.517,0.0,2.63,0.06800000000000002,0.2,0.385,0.5725,1.1780000000000004
precip,Sep,19,0.5483333333333335,0.0,2.63,0.06800000000000002,0.2,0.42000000000000004,0.81,1.1780000000000004
precip,Sep,20,0.5823333333333334,0.0,2.77,0.06800000000000002,0.21000000000000002,0.42000000000000004,0.9150000000000001,1.4190000000000005
precip,Sep,21,0.6556666666666667,0.0,2.8,0.11500000000000002,0.29250000000000004,0.42000000000000004,1.0525,1.4190000000000005
precip,Sep,22,0.7483333333333334,0.0,2.8,0.117,0.3275,0.595,1.1725,1.4190000000000005
precip,Sep,23,0.8180000000000001,0.0,3.49,0.117,0.3275,0.7250000000000001,1.2975000000000003,1.6680000000000004
precip,Sep,24,0.8430000000000001,0.0,3.5700000000000003,0.117,0.3275,0.7250000000000001,1.2975000000000003,1.8610000000000002
precip,Sep,25,0.8566666666666668,0.0,4.07,0.117,0.3275,0.7250000000000001,1.3725,1.8610000000000002
precip,Sep,26,0.8646666666666667,0.0,4.85,0.117,0.3275,0.73,1.4525000000000001,1.8610000000000002
precip,Sep,27,0.9093333333333333,0.0,5.6899999999999995,0.117,0.3275,0.74,1.4925000000000002,1.8710000000000002
precip,Sep,28,0.9203333333333334,0.0,6.6499999999999995,0.117,0.3275,0.81,1.4925000000000002,1.8710000000000002
precip,Sep,29,0.9836666666666667,0.0,6.789999999999999,0.117,0.3625,0.97,1.58,1.8710000000000002
precip,Sep,30,1.019,0.0,7.039999999999999,0.117,0.40499999999999997,1.0750000000000002,1.58,1.8710000000000002
precip,Oct,1,0.02766666666666667,0.0,0.45,0.0,0.0,0.0,0.0,0.03300000000000004
precip,Oct,2,0.06733333333333333,0.0,0.8500000000000001,0.0,0.0,0.0,0.0175,0.13700000000000054
precip,Oct,3,0.10500000000000001,0.0,0.8600000000000001,0.0,0.0,0.005,0.095,0.4750000000000001
